        ev                   refl    
        1.2398400000         0.8942837540 
        1.2690618182         0.8846367252 
        1.2982836364         0.8704235065 
        1.3275054545         0.8537174603 
        1.3567272727         0.8360863616 
        1.3859490909         0.8165580116 
        1.4151709091         0.7947966248 
        1.4443927273         0.7767562470 
        1.4736145455         0.7669507496 
        1.5028363636         0.7632363921 
        1.5320581818         0.7658778749 
        1.5612800000         0.7718176238 
        1.5905018182         0.7789125112 
        1.6197236364         0.7859279179 
        1.6489454545         0.7926448502 
        1.6781672727         0.7986896845 
        1.7073890909         0.8037498706 
        1.7366109091         0.8081600300 
        1.7658327273         0.8119163364 
        1.7950545455         0.8147804425 
        1.8242763636         0.8176445486 
        1.8534981818         0.8205086547 
        1.8827200000         0.8233727608 
        1.9119418182         0.8262368669 
        1.9411636364         0.8291009730 
        1.9703854545         0.8315840142 
        1.9996072727         0.8340542599 
        2.0288290909         0.8363081160 
        2.0580509091         0.8383456252 
        2.0872727273         0.8403831345 
        2.1164945455         0.8423509562 
        2.1457163636         0.8440951208 
        2.1749381818         0.8458392854 
        2.2041600000         0.8475834499 
        2.2333818182         0.8493395767 
        2.2626036364         0.8511930575 
        2.2918254545         0.8530465383 
        2.3210472727         0.8549000192 
        2.3502690909         0.8567535000 
        2.3794909091         0.8584743191 
        2.4087127273         0.8599207767 
        2.4379345455         0.8613672344 
        2.4671563636         0.8628136920 
        2.4963781818         0.8642723563 
        2.5256000000         0.8658264070 
        2.5548218182         0.8673804578 
        2.5840436364         0.8689345085 
        2.6132654545         0.8704648559 
        2.6424872727         0.8718947045 
        2.6717090909         0.8733245532 
        2.7009309091         0.8747544018 
        2.7301527273         0.8760834642 
        2.7593745455         0.8773698771 
        2.7885963636         0.8786562900 
        2.8178181818         0.8799427029 
        2.8470400000         0.8812291158 
        2.8762618182         0.8825155287 
        2.9054836364         0.8837266824 
        2.9347054545         0.8847005425 
        2.9639272727         0.8856744025 
        2.9931490909         0.8866482626 
        3.0223709091         0.8876221227 
        3.0515927273         0.8885959828 
        3.0808145455         0.8895698429 
        3.1100363636         0.8905437029 
        3.1392581818         0.8914589056 
        3.1684800000         0.8922209403 
        3.1977018182         0.8929829750 
        3.2269236364         0.8937450097 
        3.2561454545         0.8945070444 
        3.2853672727         0.8952690792 
        3.3145890909         0.8960311139 
        3.3438109091         0.8967931486 
        3.3730327273         0.8975551833 
        3.4022545455         0.8981604954 
        3.4314763636         0.8986404348 
        3.4606981818         0.8991203742 
        3.4899200000         0.8996003136 
        3.5191418182         0.9000802529 
        3.5483636364         0.9005601923 
        3.5775854545         0.9010401317 
        3.6068072727         0.9015200711 
        3.6360290909         0.9018362451 
        3.6652509091         0.9019800355 
        3.6944727273         0.9021238260 
        3.7236945455         0.9022676164 
        3.7529163636         0.9024114068 
        3.7821381818         0.9025551973 
        3.8113600000         0.9026989877 
        3.8405818182         0.9028427782 
        3.8698036364         0.9027198299 
        3.8990254545         0.9025519295 
        3.9282472727         0.9023840291 
        3.9574690909         0.9022161287 
        3.9866909091         0.9020482283 
        4.0159127273         0.9018803279 
        4.0451345455         0.9017124275 
        4.0743563636         0.9015445271 
        4.1035781818         0.9013766267 
        4.1328000000         0.9012087263 
