        ev                   refl    
        1.2398400000         0.9136971047 
        1.2690618182         0.9041393332 
        1.2982836364         0.8918644125 
        1.3275054545         0.8762042962 
        1.3567272727         0.8572493671 
        1.3859490909         0.8369818516 
        1.4151709091         0.8208861433 
        1.4443927273         0.8032594141 
        1.4736145455         0.7919748698 
        1.5028363636         0.7850779510 
        1.5320581818         0.7853346364 
        1.5612800000         0.7893523450 
        1.5905018182         0.7938282288 
        1.6197236364         0.7984441850 
        1.6489454545         0.8030601411 
        1.6781672727         0.8066700985 
        1.7073890909         0.8097931106 
        1.7366109091         0.8129161228 
        1.7658327273         0.8153453335 
        1.7950545455         0.8176235255 
        1.8242763636         0.8199017174 
        1.8534981818         0.8221799094 
        1.8827200000         0.8244581014 
        1.9119418182         0.8267362933 
        1.9411636364         0.8292539308 
        1.9703854545         0.8320450624 
        1.9996072727         0.8348105566 
        2.0288290909         0.8375473653 
        2.0580509091         0.8402841740 
        2.0872727273         0.8431722888 
        2.1164945455         0.8462691310 
        2.1457163636         0.8493659732 
        2.1749381818         0.8525757051 
        2.2041600000         0.8558286127 
        2.2333818182         0.8590815203 
        2.2626036364         0.8624479990 
        2.2918254545         0.8658405152 
        2.3210472727         0.8692330313 
        2.3502690909         0.8726255474 
        2.3794909091         0.8760180635 
        2.4087127273         0.8794105796 
        2.4379345455         0.8828030957 
        2.4671563636         0.8862237641 
        2.4963781818         0.8896638308 
        2.5256000000         0.8931038976 
        2.5548218182         0.8965439644 
        2.5840436364         0.8999840312 
        2.6132654545         0.9026454882 
        2.6424872727         0.9052187426 
        2.6717090909         0.9077919970 
        2.7009309091         0.9103652514 
        2.7301527273         0.9129385057 
        2.7593745455         0.9155117601 
        2.7885963636         0.9180850145 
        2.8178181818         0.9203135067 
        2.8470400000         0.9222499981 
        2.8762618182         0.9241864895 
        2.9054836364         0.9261229808 
        2.9347054545         0.9280594722 
        2.9639272727         0.9299717958 
        2.9931490909         0.9316001159 
        3.0223709091         0.9332284359 
        3.0515927273         0.9348567559 
        3.0808145455         0.9364850760 
        3.1100363636         0.9378861608 
        3.1392581818         0.9387341913 
        3.1684800000         0.9395822218 
        3.1977018182         0.9404302523 
        3.2269236364         0.9412782827 
        3.2561454545         0.9421263132 
        3.2853672727         0.9429743437 
        3.3145890909         0.9438223742 
        3.3438109091         0.9446704046 
        3.3730327273         0.9455184351 
        3.4022545455         0.9463664656 
        3.4314763636         0.9472144961 
        3.4606981818         0.9480625265 
        3.4899200000         0.9489105570 
        3.5191418182         0.9497585875 
        3.5483636364         0.9506066180 
        3.5775854545         0.9511721694 
        3.6068072727         0.9514907137 
        3.6360290909         0.9518092579 
        3.6652509091         0.9521278022 
        3.6944727273         0.9524463465 
        3.7236945455         0.9527648907 
        3.7529163636         0.9530834350 
        3.7821381818         0.9531428693 
        3.8113600000         0.9529831558 
        3.8405818182         0.9528234423 
        3.8698036364         0.9526637288 
        3.8990254545         0.9525040153 
        3.9282472727         0.9523443018 
        3.9574690909         0.9521845883 
        3.9866909091         0.9519488213 
        4.0159127273         0.9516555361 
        4.0451345455         0.9513622509 
        4.0743563636         0.9510689657 
        4.1035781818         0.9507756805 
        4.1328000000         0.9504823953 
