        ev                   refl    
        1.2398400000         0.9041282806 
        1.2690618182         0.8941350102 
        1.2982836364         0.8810787462 
        1.3275054545         0.8657257410 
        1.3567272727         0.8464149928 
        1.3859490909         0.8262086671 
        1.4151709091         0.8062697039 
        1.4443927273         0.7896048757 
        1.4736145455         0.7781816526 
        1.5028363636         0.7744988864 
        1.5320581818         0.7766107598 
        1.5612800000         0.7811132942 
        1.5905018182         0.7872586259 
        1.6197236364         0.7930182542 
        1.6489454545         0.7984485431 
        1.6781672727         0.8029403186 
        1.7073890909         0.8071920495 
        1.7366109091         0.8113748032 
        1.7658327273         0.8141345430 
        1.7950545455         0.8168942827 
        1.8242763636         0.8196540224 
        1.8534981818         0.8224137621 
        1.8827200000         0.8249445047 
        1.9119418182         0.8274213099 
        1.9411636364         0.8298981151 
        1.9703854545         0.8324019490 
        1.9996072727         0.8350059365 
        2.0288290909         0.8376099239 
        2.0580509091         0.8402133736 
        2.0872727273         0.8427133486 
        2.1164945455         0.8452133237 
        2.1457163636         0.8476973402 
        2.1749381818         0.8500519983 
        2.2041600000         0.8524066563 
        2.2333818182         0.8549540551 
        2.2626036364         0.8576875940 
        2.2918254545         0.8604211329 
        2.3210472727         0.8630009883 
        2.3502690909         0.8655559809 
        2.3794909091         0.8681109736 
        2.4087127273         0.8706659662 
        2.4379345455         0.8732209588 
        2.4671563636         0.8756829888 
        2.4963781818         0.8780905586 
        2.5256000000         0.8804981284 
        2.5548218182         0.8828184790 
        2.5840436364         0.8850040261 
        2.6132654545         0.8871895732 
        2.6424872727         0.8893751203 
        2.6717090909         0.8914987435 
        2.7009309091         0.8934887358 
        2.7301527273         0.8954787281 
        2.7593745455         0.8974687204 
        2.7885963636         0.8994587127 
        2.8178181818         0.9010169309 
        2.8470400000         0.9024928538 
        2.8762618182         0.9039687767 
        2.9054836364         0.9054529184 
        2.9347054545         0.9070507688 
        2.9639272727         0.9086486191 
        2.9931490909         0.9102464694 
        3.0223709091         0.9117407633 
        3.0515927273         0.9128966436 
        3.0808145455         0.9140525239 
        3.1100363636         0.9152084042 
        3.1392581818         0.9163642845 
        3.1684800000         0.9175201648 
        3.1977018182         0.9185032279 
        3.2269236364         0.9192783286 
        3.2561454545         0.9200534292 
        3.2853672727         0.9208285299 
        3.3145890909         0.9216036305 
        3.3438109091         0.9223787312 
        3.3730327273         0.9231538318 
        3.4022545455         0.9239289325 
        3.4314763636         0.9247040331 
        3.4606981818         0.9254285657 
        3.4899200000         0.9257651352 
        3.5191418182         0.9261017046 
        3.5483636364         0.9264382741 
        3.5775854545         0.9267748436 
        3.6068072727         0.9271114131 
        3.6360290909         0.9274479826 
        3.6652509091         0.9277845521 
        3.6944727273         0.9281211216 
        3.7236945455         0.9284576911 
        3.7529163636         0.9286918095 
        3.7821381818         0.9284874720 
        3.8113600000         0.9282831346 
        3.8405818182         0.9280787971 
        3.8698036364         0.9278744597 
        3.8990254545         0.9276701222 
        3.9282472727         0.9274657848 
        3.9574690909         0.9272614473 
        3.9866909091         0.9270541792 
        4.0159127273         0.9266517968 
        4.0451345455         0.9262494145 
        4.0743563636         0.9258470321 
        4.1035781818         0.9254446497 
        4.1328000000         0.9250422673 
